nationality;image;player;team;gender
Brazilian;https://media.guim.co.uk/83f1b6042be5cfb665769db9bf18011aad93c86a/96_98_1340_1339/500.jpg;Ederson;Manchester City;male
French;https://media.guim.co.uk/1a59cc80757e14bb8dea5c0e199808608315508d/1652_19_1266_1266/500.jpg;Antoine Griezmann;Atlético Madrid;male
Other nationalities;https://media.guim.co.uk/1a1d12093782a1ac52334d9beb0ef0e484a5a272/1423_91_1600_1601/500.jpg;Kasper Schmeichel;Leicester City;male
English;https://media.guim.co.uk/5171941169606d7b5db9ec8f142ae8608c945c36/920_176_2150_2151/500.jpg;Luke Shaw;Manchester United;male
Other nationalities;https://media.guim.co.uk/391ffbce58ded5256a9cb3cdb0b2b9d77fe5a8ee/342_63_580_580/500.jpg;Patrik Schick;Bayer Leverkusen;male
Brazilian;https://media.guim.co.uk/bf7a5c9b28068df3218ebf97c5f36f59b3c78335/1156_0_3279_3280/500.jpg;Roberto Firmino;Liverpool;male
Other nationalities;https://media.guim.co.uk/ae1110080b57c9ebf4dc6f654c1b7800412bc51a/812_40_1959_1959/500.jpg;Marcelo Brozovic;Internazionale;male
Spanish;https://media.guim.co.uk/c7b8d681dc847e088f8b3d4dc8048955176693aa/178_39_1133_1132/500.jpg;Sergio Busquets;Barcelona;male
Other nationalities;https://media.guim.co.uk/075a6c1d5ba1a812f217836bf91df7d88e77ae0d/551_128_1462_1461/500.jpg;Duván Zapata;Atalanta;male
Other nationalities;https://media.guim.co.uk/db6064a38d643fa66f12c6b67ebab94660229cca/984_228_808_808/500.jpg;João Félix;Atlético Madrid;male
Other nationalities;https://media.guim.co.uk/cbb3b1260646c36486890f31f5fab098b01dd43a/528_20_2240_2240/500.jpg;Burak Yilmaz;Lille;male
Spanish;https://media.guim.co.uk/d9cf1181f89d68945e0398c9286cf947cc284292/1146_159_1090_1090/500.jpg;Mikel Oyarzabal;Real Sociedad;male
Other nationalities;https://media.guim.co.uk/106f5a7b316137e158b135332945e411bcd63b9b/3287_0_2908_2908/500.jpg;Luis Díaz;Porto;male
Other nationalities;https://media.guim.co.uk/fd565ecc992b8ae3ce5e3ecdf9924df4ead509a9/411_46_899_899/500.jpg;Diogo Jota;Liverpool;male
Other nationalities;https://media.guim.co.uk/c27b4a2cd3155c3d0dd673b8565ef0d1834c8fec/1192_102_1397_1397/500.jpg;Dusan Tadic;Ajax;male
Spanish;https://media.guim.co.uk/622f0c14e293b333adcdb298be80204d8d835b44/421_38_1849_1849/500.jpg;Dani Olmo;RB Leipzig;male
argentinian;https://media.guim.co.uk/6c08e0b3e825c43fb0f822feb68486c87aa05139/1199_0_1048_1049/500.jpg;Julián Álvarez;River Plate;male
Spanish;https://media.guim.co.uk/3655a00fd62f3327a7311e28a408b108452c4b37/779_93_937_937/500.jpg;Rodri;Manchester City;male
Other nationalities;https://media.guim.co.uk/be11e03eb649fa4843562f0ef3a38eed55ff7b84/2957_74_1265_1265/500.jpg;Sébastien Haller;Ajax;male
Other nationalities;https://media.guim.co.uk/d7b083ccc6a189ab58f916bb70fff99ba0e27062/856_66_1069_1070/500.jpg;Keylor Navas;Paris Saint-Germain;male
English;https://media.guim.co.uk/6b624fcd004b03b1ba289ce5b3af8e16f37ce83b/1395_79_1074_1074/500.jpg;Bukayo Saka;Arsenal;male
Other nationalities;https://media.guim.co.uk/fc1f829e73ea411d4d65f12cd518dbfbfd9da66b/1415_232_882_882/500.jpg;Joakim Mæhle;Atalanta;male
Other nationalities;https://media.guim.co.uk/1e5bd47afc26a4d2f909e3610d2daccec3004ca2/1976_711_928_928/500.jpg;Fabinho;Liverpool;male
Spanish;https://media.guim.co.uk/f3414daef0b721edbf72a7f85e7d5ef241fe5f64/3256_4_2269_2270/500.jpg;Gavi;Barcelona;male
Belgian;https://media.guim.co.uk/173f0d0fc2d320e5e7f84c7125c337e2f41037ce/730_132_1330_1330/500.jpg;Youri Tielemans;Leicester City;male
Other nationalities;https://media.guim.co.uk/33f677b2d33e908bc4f431586819d6e60445b7bf/353_122_1354_1354/500.jpg;Pierre-Emile Højbjerg;Tottenham Hotspur;male
Spanish;https://media.guim.co.uk/ebbb3bdb021e2e0b1e806b62b5790eb1b59695f1/1037_3_952_952/500.jpg;Alexia Putellas;Barcelona;female
German;https://media.guim.co.uk/aba22487907da2457205b7f546ac889e5ab3c045/738_144_2779_2779/500.jpg;Vivianne Miedema;Arsenal;female
Australian;https://media.guim.co.uk/398a3091b11368cb5105870c9a253b3c76c30438/756_80_1041_1041/500.jpg;Sam Kerr;Chelsea;female
Norwegian;https://media.guim.co.uk/94a3d0a7f07d42eba7577865c7efefe109a86891/883_48_1075_1075/500.jpg;Caroline Graham Hansen;Barcelona;female
Danish;https://media.guim.co.uk/275f6451c6b2186bdba6129a10e257901399d6b0/513_103_1102_1101/500.jpg;Pernille Harder;Chelsea;female
Spanish;https://media.guim.co.uk/8a38a660814bf6e6d815fd9bfd7a59c608e1cd30/400_356_1255_1255/500.jpg;Jenni Hermoso;Barcelona;female
English;https://media.guim.co.uk/a0f4adc108260b50b847966df193b66238f658c1/738_65_1341_1340/500.jpg;Fran Kirby;Chelsea;female
Spanish;https://media.guim.co.uk/00db4142967f1908d1735517cd40ec25dc06c603/799_153_618_617/500.jpg;Irene Paredes;Barcelona;female
German;https://media.guim.co.uk/b7a6ba163cc05ecd155c9e4d4d0b9d666211c843/1212_0_1341_1341/500.jpg;Lieke Martens;Barcelona;female
Spanish;https://media.guim.co.uk/d087541f069763a946bea4241e6c5402f2bc65fa/1468_0_1163_1163/500.jpg;Aitana Bonmati;Barcelona;female
Swedish;https://media.guim.co.uk/d1fdc18c42fc649b90d4062aef86d9ea26d0642a/438_136_914_914/500.jpg;Magdalena Eriksson;Chelsea;female
Chile;https://media.guim.co.uk/bd311a1dd4d5b145ec4b664f4b874dea2c3e9d5c/964_35_784_784/500.jpg;Christiane Endler;Lyon;female
French;https://media.guim.co.uk/90046d8f5c81392480e7b36e8f2d20f988b2d316/542_90_718_717/500.jpg;Marie-Antoinette Katoto;PSG;female
Canadian;https://media.guim.co.uk/721d5ad7c7e57e5b88bd47a47a9dd8a82a32fc42/2307_17_842_841/500.jpg;Ashley Lawrence;PSG;female
French;https://media.guim.co.uk/15199742c5ed1fcb0d58bb1b976bb5d8faf82dbf/864_172_938_938/500.jpg;Wendie Renard;Lyon;female
Spanish;https://media.guim.co.uk/38d450c4fb412fb0002bd44d1de455934eec8757/1499_123_1354_1354/500.jpg;Mapi León;Barcelona;female
Swedish;https://media.guim.co.uk/f3974431d1cbec969fdec9803d3b3f9fe8945d4b/1113_167_1536_1536/500.jpg;Stina Blackstenius;Häcken;female
Canadian;https://media.guim.co.uk/781b162d0c4d4230726313899e3c2b19d08c8572/490_186_1043_1042/500.jpg;Christine Sinclair;Portland Thorns;female
Scotland;https://media.guim.co.uk/be9431b26740f2a5e829e2dafc50740e1b619368/637_554_805_805/500.jpg;Kim Little;Arsenal;female
U.S.A.;https://media.guim.co.uk/a69bf24de005dee02ae0d5afda9461873621c5bd/635_103_611_611/500.jpg;Sam Mewis;North Carolina;female
Spanish;https://media.guim.co.uk/ce9aee7fe30c6374378bb95f8f93bac427c942ef/870_0_1035_1035/500.jpg;Sandra Paños;Barcelona;female
